ind;site;date;phase;stipe_length;stipe_circ;primary_length;primary_width;holdfast;cluster;
253;Noordehoek;06/06/2017;Before;425;15;20;12;Y;N;
254;Noordehoek;06/06/2017;Before;175;12;17;8;N;N;
255;Noordehoek;06/06/2017;Before;375;17;16;7;Y;N;
256;Noordehoek;06/06/2017;Before;78;20;20;8;Y;Y;
257;Noordehoek;06/06/2017;Before;85;11;20;7;Y;Y;
258;Noordehoek;06/06/2017;Before;558;38;18;21;Y;Y;
259;Noordehoek;06/06/2017;After;112;22;14;9;Y;N;
260;Noordehoek;06/06/2017;After;750;29;24;18;N;N;
261;Noordehoek;06/06/2017;After;375;30;20;12;N;N;
262;Noordehoek;06/06/2017;After;250;24;29;33;Y;N;
263;Noordehoek;06/06/2017;After;754;25;28;30;Y;Y;
264;Noordehoek;06/06/2017;After;104;10;11;6;N;N;
265;Noordehoek;06/06/2017;After;134;23;15;10;Y;N;
266;Noordehoek;06/06/2017;After;626;29;28;20;N;N;
267;Noordehoek;06/06/2017;After;725;21;15;10;Y;N;
268;Noordehoek;06/06/2017;After;725;38;23;16;Y;N;
269;Noordehoek;06/06/2017;After;975;22;17;10;Y;N;
270;Noordehoek;06/06/2017;After;640;33;17;11;N;N;
271;Noordehoek;06/06/2017;After;224;13;13;7;Y;Y;
272;Noordehoek;06/06/2017;After;700;28;22;15;Y;N;
273;Noordehoek;06/06/2017;After;1080;40;22;18;N;N;
274;Noordehoek;06/06/2017;After;625;22;17;10;N;N;
275;Noordehoek;06/06/2017;After;635;34;22;15;N;N;
276;Noordehoek;06/06/2017;After;500;11;15;5;Y;N;
277;Noordehoek;06/06/2017;After;1050;34;17;12;N;N;
278;Noordehoek;06/06/2017;After;755;35;25;17;Y;N;
279;Noordehoek;06/06/2017;After;137;10;16;4;Y;N;
280;Noordehoek;06/06/2017;After;750;36;17;22;Y;N;
281;Noordehoek;06/06/2017;After;625;28;28;13;N;N;
282;Noordehoek;06/06/2017;After;895;34;19;17;Y;N;
283;Noordehoek;06/06/2017;After;625;37;27;19;N;N;
284;Noordehoek;06/06/2017;After;875;18;10;20;Y;Y;
285;Noordehoek;06/06/2017;After;725;29;25;8;N;N;
286;Noordehoek;06/06/2017;After;221;11;14;6;Y;N;
287;Noordehoek;06/06/2017;After;626;19;15;20;N;N;
288;Noordehoek;06/06/2017;After;187;12;17;8;N;N;
289;Noordehoek;06/06/2017;After;167;7;19;4;Y;N;
290;Noordehoek;06/06/2017;After;162;5;17;3;Y;Y;
